h,y,dgdy_0,dgdp
1.0000000000000000e-03,1.6643628436739278e-13,4.8243583805743930e-11,4.4588151302290476e-11
5.0000000000000001e-03,4.5820330034144161e-11,3.3371370398461067e-08,3.1203695136515703e-08
1.0000000000000000e-02,5.3712032741764369e-10,5.2942254478491674e-07,4.9556562953330032e-07
5.0000000000000003e-02,7.2628273826163926e-07,3.0687745533268312e-04,2.9030615447923495e-04
1.0000000000000001e-01,3.6969682759112991e-05,4.3667365222359623e-03,4.2143377644460389e-03
5.0000000000000000e-01,2.5596286574305055e-01,5.1279976548391593e-01,5.3319304321050831e-01
