h,y,dgdy_0,dgdp
1.0000000000000000e-03,2.6299523378053777e-12,2.3377766037416285e-08,2.7222984784333457e-08
5.0000000000000001e-03,3.4592496195939751e-09,2.8868495055573929e-06,3.3846536056430845e-06
1.0000000000000000e-02,6.5855405218666747e-08,2.2711747239523875e-05,2.6868204959199380e-05
5.0000000000000003e-02,4.8349266396620482e-05,2.3543162810662935e-03,3.0585996754546453e-03
1.0000000000000001e-01,8.2724694243622120e-04,1.2157238925834472e-02,1.9854878636550069e-02
5.0000000000000000e-01,1.5126907054236090e+00,5.5752697258719216e+01,5.9463291455172296e+01
