h,y,dgdy_0,dgdp
1.0000000000000000e-03,7.7227731170473108e-14,5.4179780728186561e-12,5.5468929109896276e-12
5.0000000000000001e-03,2.6131144257682096e-13,9.2335494313357508e-13,2.6337833059667795e-13
1.0000000000000000e-02,6.9087248312503738e-12,1.3305083885934972e-10,9.6410522158709720e-11
5.0000000000000003e-02,5.3778078966021156e-08,9.5825541874529292e-07,1.1513385247197788e-06
1.0000000000000001e-01,3.4864797725893900e-06,6.7632626025600451e-05,7.8124220176155166e-05
5.0000000000000000e-01,2.1635858352141855e-02,6.5745175920027677e+01,3.2025849573273817e+01
